index,bytes,skeleton_id,entry_count,types
1009,144,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1010,142,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1011,143,1,29,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1012,144,1,29,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 2 2 1
1013,141,1,29,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1014,147,1,29,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 2 2 1
1015,143,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1016,148,1,28,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1017,140,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1018,142,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1019,145,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1
1020,139,1,27,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1021,143,1,28,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1022,147,1,28,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1023,148,1,29,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 2 2 1
1024,147,1,29,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1025,136,1,27,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1026,146,1,29,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1027,149,1,29,2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1
1028,109,1,20,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2
1029,105,1,21,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2
1030,111,1,20,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2
1031,105,1,18,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2
1032,108,1,20,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2
1033,92,1,16,2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2
1034,75,1,10,2 2 2 2 2 2 2 2 2 2
1035,68,1,8,2 2 2 2 2 2 2 2
1036,94,1,17,2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2
1037,110,1,21,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2
1038,102,1,20,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2
1039,106,1,20,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2
1040,107,1,20,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2
1041,100,1,17,2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2
1042,98,1,18,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2
1043,83,1,14,2 2 2 2 2 2 2 2 1 2 2 2 2 2
1044,108,1,20,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2
1045,72,1,9,2 2 2 2 2 2 2 2 2
1046,41,1,5,2 2 2 2 1
1047,111,1,21,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2
1048,105,1,18,2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2
1049,68,1,9,2 2 2 2 2 1 2 2 2
1050,85,1,13,2 2 2 2 2 2 2 2 2 2 2 2 2
1051,62,1,6,2 2 2 2 2 2
1052,86,1,14,2 2 2 2 2 2 2 2 2 2 2 2 2 2
1053,78,1,9,2 2 2 2 2 2 2 2 2
1054,81,1,11,2 2 2 2 2 2 2 2 2 2 2
1055,91,1,13,2 2 2 2 2 2 2 2 2 2 2 2 2
1056,60,1,9,2 2 2 2 2 2 2 2 2
1057,77,1,7,2 2 2 2 2 2 2
1058,84,1,11,2 2 2 2 2 2 2 2 2 2 2
1059,80,1,10,2 2 2 2 2 2 2 2 2 2
1060,83,1,10,2 2 2 2 2 2 2 2 2 2
1061,73,1,9,2 2 2 2 2 2 2 2 2
1062,80,1,10,2 2 2 2 2 2 2 2 2 2
1063,84,1,13,2 2 2 2 2 2 2 2 2 2 2 2 2
1064,82,1,10,2 2 2 2 2 2 2 2 2 2
1065,82,1,11,2 2 2 2 2 2 2 2 2 2 2
1066,86,1,14,2 2 2 2 2 2 2 2 2 2 2 2 2 2
1067,83,1,11,2 2 2 2 2 2 2 2 2 2 2
1068,78,1,10,2 2 2 2 2 2 2 2 2 2
1069,79,1,10,2 2 2 2 2 2 2 2 2 2
1070,85,1,10,2 2 2 2 2 2 2 2 2 2
1071,82,1,12,2 2 2 2 2 2 2 2 2 2 2 2
1072,80,1,10,2 2 2 2 2 2 2 2 2 2
1073,79,1,9,2 2 2 2 2 2 2 2 2
1074,85,1,12,2 2 2 2 2 2 2 2 2 2 2 2
1075,81,1,13,2 2 2 2 2 2 2 2 2 2 2 2 2
1076,68,1,8,2 2 2 2 2 2 2 2
1077,80,1,9,2 2 2 2 2 2 2 2 2
1078,58,1,7,2 2 2 2 2 2 2
1079,81,1,9,2 2 2 2 2 2 2 2 2
1080,79,1,11,2 2 2 2 2 2 2 2 2 2 2
1081,58,1,7,2 2 2 2 2 2 2
1082,82,1,11,2 2 2 2 2 2 2 2 2 2 2
1083,80,1,12,2 2 2 2 2 2 2 2 2 2 2 2
1084,88,1,16,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
1085,84,1,13,2 2 2 2 2 2 2 2 2 2 2 2 2
1086,79,1,9,2 2 2 2 2 2 2 2 2
1087,90,1,15,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
1088,82,1,10,2 2 2 2 2 2 2 2 2 2
1089,85,1,11,2 2 2 2 2 2 2 2 2 2 2
1090,82,1,10,2 2 2 2 2 2 2 2 2 2
1091,86,1,13,2 2 2 2 2 2 2 2 2 2 2 2 2
1092,82,1,9,2 2 2 2 2 2 2 2 2
1093,84,1,12,2 2 2 2 2 2 2 2 2 2 2 2
1094,88,1,13,2 2 2 2 2 2 2 2 2 2 2 2 2
1095,80,1,11,2 2 2 2 2 2 2 2 2 2 2
1096,80,1,10,2 2 2 2 2 2 2 2 2 2
1097,82,1,10,2 2 2 2 2 2 2 2 2 2
1098,151,1,28,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1
